Program_studi,Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Probabilitas_dropout,Level_risiko
Veterinary Nursing,17,9085,1,106.0,106.0,0,0,1,0,0,20,6,9,6,13.166666666666666,6,8,4,14.0,0.2718,Rendah
Social Service,1,9238,1,124.0,121.2,0,0,1,0,0,19,6,12,2,13.0,6,9,6,10.833333333333334,0.2674,Rendah
Management (evening),44,9991,0,130.0,130.0,0,0,1,0,0,31,6,12,4,12.25,7,9,7,12.0,0.2668,Rendah
Nursing,43,9500,1,126.0,124.3,1,0,1,0,1,18,7,8,5,11.98,7,8,5,11.98,0.2629,Rendah
Management,1,9147,1,123.0,117.8,0,0,1,1,0,20,5,9,5,12.0,5,9,4,13.0,0.261,Rendah
Social Service,39,9238,1,170.0,140.0,1,0,1,0,0,24,6,9,4,15.75,6,10,5,16.4,0.2582,Rendah
Social Service,1,9238,1,108.0,107.3,0,0,1,0,1,19,6,12,4,10.4,6,11,4,10.75,0.2578,Rendah
Agronomy,39,9003,1,140.0,150.0,0,0,1,1,0,28,6,12,5,12.0,6,10,6,12.333333333333334,0.2535,Rendah
Agronomy,44,9003,1,140.0,140.0,0,0,1,1,0,20,6,11,6,11.285714285714286,6,12,5,11.77777777777778,0.2498,Rendah
Management,39,9147,1,133.1,119.8,0,0,1,1,0,26,5,9,5,12.0,5,5,5,10.2,0.2492,Rendah
Nursing,17,9500,1,145.0,136.3,1,0,1,0,0,18,8,12,7,12.285714285714286,8,12,7,12.285714285714286,0.2475,Rendah
Social Service (evening),39,8014,0,133.1,134.5,0,0,1,0,0,45,6,8,5,13.6,6,7,5,13.0,0.2467,Rendah
Management,1,9147,1,120.0,111.3,0,0,1,1,1,18,5,10,4,10.8,5,10,4,11.75,0.2456,Rendah
Management,1,9147,1,125.0,124.0,1,0,1,0,0,19,5,5,5,11.2,5,11,4,11.75,0.2445,Rendah
Nursing,43,9500,1,125.0,123.6,1,0,1,0,1,18,7,8,5,12.86,7,8,5,12.86,0.2445,Rendah
Tourism,1,9254,1,131.0,134.5,1,0,1,1,0,25,6,8,6,13.166666666666666,6,8,5,12.6,0.2444,Rendah
Veterinary Nursing,1,9085,1,147.0,133.7,1,0,1,0,1,19,5,10,2,13.5,5,11,5,11.4,0.2434,Rendah
Veterinary Nursing,1,9085,1,134.0,129.1,0,0,1,0,0,19,5,7,3,12.0,5,7,4,13.5,0.2431,Rendah
Veterinary Nursing,44,9085,1,140.0,140.0,1,0,1,0,0,20,6,13,6,12.555555555555555,6,11,5,11.8,0.2429,Rendah
Nursing,1,9500,1,136.0,120.0,1,0,1,1,0,18,7,8,6,11.833333333333334,7,8,6,11.833333333333334,0.2428,Rendah
Journalism and Communication,1,9773,1,133.1,98.0,1,0,1,1,1,19,6,8,4,12.0,6,8,6,12.285714285714286,0.2401,Rendah
Management,1,9147,1,131.0,123.3,0,0,1,1,0,19,5,7,5,11.8,5,8,4,12.4,0.24,Rendah
Agronomy,42,9003,1,120.0,128.2,1,0,1,1,0,24,9,13,8,13.333333333333334,10,12,9,13.11111111111111,0.24,Rendah
Veterinary Nursing,1,9085,1,140.0,131.6,1,0,1,0,0,20,7,9,6,14.714285714285714,7,16,6,13.2,0.2382,Rendah
Management,17,9147,1,121.0,123.8,0,0,1,0,1,19,5,5,5,12.4,5,8,3,11.0,0.2381,Rendah
Advertising and Marketing Management,17,9670,1,133.1,96.0,1,0,1,0,1,25,6,8,6,11.285714285714286,6,10,5,12.2,0.2365,Rendah
Journalism and Communication,17,9773,1,121.0,113.7,0,0,1,0,0,18,6,8,5,12.6,6,10,6,12.428571428571429,0.2347,Rendah
Nursing,43,9500,1,120.0,120.0,1,0,1,0,0,26,7,8,6,12.0,7,8,6,12.0,0.234,Rendah
Informatics Engineering,17,9119,1,127.0,121.1,1,0,1,1,1,18,5,6,5,13.2,5,8,5,12.6,0.2337,Rendah
Nursing,17,9500,1,132.0,125.5,1,0,1,1,0,18,8,8,7,13.154285714285717,8,8,7,13.154285714285717,0.2328,Rendah
Nursing,1,9500,1,138.0,123.0,1,0,1,0,0,19,7,10,5,13.44,7,8,6,13.066666666666668,0.2313,Rendah
Basic Education,1,9853,1,146.0,145.3,1,0,1,0,1,18,6,8,5,12.8,6,7,5,13.4,0.2261,Rendah
Management,1,9147,1,130.0,119.5,1,0,1,1,1,18,5,7,4,11.25,5,6,4,12.25,0.2254,Rendah
Social Service,17,9238,1,123.0,113.2,0,0,1,0,1,20,6,11,4,10.75,6,13,5,11.5,0.2254,Rendah
Tourism,1,9254,1,118.0,114.2,0,0,1,0,0,18,6,10,5,12.2,6,10,5,11.6,0.223,Rendah
Management (evening),42,9991,0,123.0,123.0,0,0,1,1,0,37,5,10,5,15.8,5,5,5,17.6,0.2213,Rendah
Informatics Engineering,17,9119,1,120.0,117.2,0,0,1,1,1,18,5,8,4,13.5,6,10,6,13.625,0.2209,Rendah
Management,1,9147,1,131.0,132.4,1,0,1,0,0,19,5,5,5,11.8,5,8,4,11.25,0.2207,Rendah
Communication Design,43,9070,1,150.0,126.4,0,0,1,1,0,26,7,8,7,13.285714285714286,8,11,7,12.142857142857142,0.2205,Rendah
Basic Education,17,9853,1,114.0,111.9,1,0,1,1,1,20,6,6,6,12.0,6,7,6,12.5,0.2199,Rendah
Communication Design,1,9070,1,125.0,125.4,1,0,1,0,0,19,6,7,5,12.4,6,6,5,12.4,0.2193,Rendah
Management,1,9147,1,127.0,123.5,1,0,1,0,1,19,5,5,5,11.6,5,11,3,12.666666666666666,0.2173,Rendah
Management (evening),18,9991,0,133.1,145.0,0,0,1,0,1,21,5,6,4,12.25,5,8,4,11.8,0.2167,Rendah
Advertising and Marketing Management,1,9670,1,131.0,123.0,1,0,1,0,1,18,5,6,3,11.666666666666666,5,6,4,13.5,0.2167,Rendah
Nursing,1,9500,1,139.0,121.3,1,0,1,0,1,19,8,10,6,11.833333333333334,8,10,6,11.833333333333334,0.212,Rendah
Management,17,9147,1,118.0,118.0,0,0,1,0,0,20,5,11,4,11.0,5,7,5,13.2,0.212,Rendah
Tourism,1,9254,1,100.0,101.8,1,0,1,0,0,21,6,8,5,11.6,6,6,5,13.0,0.2096,Rendah
Agronomy,39,9003,1,133.1,129.8,0,0,1,1,0,24,7,7,7,13.571428571428571,6,9,5,13.4,0.2075,Rendah
Oral Hygiene,43,9556,1,128.0,123.5,1,0,1,0,0,22,7,14,6,10.744444444444444,8,10,8,11.8375,0.2068,Rendah
Nursing,1,9500,1,118.0,110.0,1,0,1,0,0,19,7,12,4,12.85,7,7,7,12.62142857142857,0.2063,Rendah
Nursing,39,9500,1,120.0,105.9,0,0,1,0,0,35,3,4,3,11.816666666666668,3,3,3,11.333333333333334,0.2049,Rendah
Nursing,1,9500,1,101.0,102.4,0,0,1,0,0,20,7,9,5,12.04,7,9,6,11.77142857142857,0.2048,Rendah
Basic Education,1,9853,1,133.0,131.3,1,0,1,0,0,20,6,9,5,14.333333333333334,8,8,8,12.625,0.2047,Rendah
Management,1,9147,1,143.0,128.7,1,0,1,1,0,23,5,6,4,14.0,5,5,5,13.8,0.2046,Rendah
Management (evening),39,9991,0,150.0,146.0,0,0,1,1,0,34,5,5,5,14.2,5,5,5,14.6,0.2043,Rendah
Nursing,1,9500,1,127.0,121.5,1,0,1,1,0,20,7,7,6,13.016666666666666,7,7,6,13.016666666666666,0.2034,Rendah
Veterinary Nursing,16,9085,1,134.0,123.9,1,0,1,1,0,18,5,11,5,13.0,5,7,5,12.4,0.203,Rendah
Nursing,1,9500,1,118.0,115.7,0,0,1,1,0,20,7,9,5,12.7,8,9,7,13.475,0.2024,Rendah
Management,1,9147,1,143.0,135.0,1,0,1,0,0,21,5,8,4,11.0,5,8,5,12.0,0.2006,Rendah
Nursing,39,9500,1,130.0,130.0,0,0,1,0,0,27,8,12,7,12.457142857142856,8,12,7,12.457142857142856,0.1998,Rendah
Nursing,17,9500,1,130.0,128.8,1,0,1,0,0,18,7,8,6,13.39,8,10,7,12.757142857142856,0.1992,Rendah
Communication Design,42,9070,1,100.0,115.9,0,0,1,0,0,29,10,15,9,11.555555555555555,11,17,10,11.9,0.1979,Rendah
Management,53,9147,1,130.0,132.4,0,0,1,0,0,30,11,20,9,12.22222222222222,9,16,9,11.6,0.195,Rendah
Management (evening),39,9991,0,130.0,151.6,0,0,1,0,0,24,5,9,5,12.285714285714286,5,8,5,12.125,0.1936,Rendah
Nursing,39,9500,1,148.0,130.0,0,0,1,0,0,24,8,12,7,12.714285714285714,8,12,7,12.714285714285714,0.1936,Rendah
Equinculture,1,9130,1,140.0,129.5,1,0,1,0,0,18,5,10,4,13.5,5,5,5,13.4,0.1935,Rendah
Nursing,1,9500,1,130.0,118.1,1,0,1,1,0,18,7,10,6,12.035714285714286,8,9,7,13.75,0.1934,Rendah
Tourism,1,9254,1,120.0,118.3,0,0,1,1,0,20,6,8,6,12.857142857142858,6,9,5,12.4,0.1934,Rendah
Veterinary Nursing,1,9085,1,138.0,131.0,1,0,1,0,0,18,5,9,5,12.666666666666666,5,7,4,13.0,0.1919,Rendah
Nursing,1,9500,1,125.0,115.6,1,0,1,0,0,18,7,9,6,12.183333333333332,7,9,6,11.783333333333331,0.1895,Rendah
Communication Design,1,9070,1,132.0,136.6,1,0,1,0,0,18,6,10,6,11.714285714285714,6,15,6,10.375,0.1875,Rendah
Management (evening),43,9991,0,120.0,120.0,0,0,1,0,0,36,12,21,11,11.5,12,22,12,11.4375,0.1864,Rendah
Nursing,43,9500,1,133.1,114.5,0,0,1,0,0,23,7,11,6,12.1,7,7,6,12.616666666666667,0.1852,Rendah
Nursing,17,9500,1,126.0,126.2,1,0,1,0,1,18,7,10,5,11.94,7,8,6,12.8,0.1841,Rendah
Agronomy,44,9003,1,130.0,130.0,0,0,1,1,0,19,6,8,5,11.5,6,11,6,11.333333333333334,0.1823,Rendah
Tourism,1,9254,1,128.0,127.0,0,0,1,0,0,19,6,6,6,12.0,6,7,4,12.75,0.1817,Rendah
Nursing,7,9500,1,130.0,130.0,0,0,1,0,0,32,7,9,7,13.761111111111113,8,11,7,12.06375,0.181,Rendah
Advertising and Marketing Management,1,9670,1,131.0,127.2,0,0,1,0,1,18,5,7,3,12.666666666666666,5,5,4,12.5,0.179,Rendah
Management (evening),7,9991,0,120.0,120.0,0,0,1,0,0,27,5,5,5,15.2,5,6,5,14.0,0.1788,Rendah
Nursing,17,9500,1,128.0,124.7,0,0,1,1,1,19,7,11,6,12.528571428571428,7,10,6,12.416666666666666,0.1765,Rendah
Veterinary Nursing,1,9085,1,122.0,113.3,1,0,1,0,0,18,5,9,4,14.25,5,8,5,12.714285714285714,0.1741,Rendah
Journalism and Communication,1,9773,1,150.0,138.1,1,0,1,0,0,19,6,7,6,14.0,6,7,5,15.0,0.1726,Rendah
Management (evening),39,9991,0,172.0,150.0,1,0,1,0,1,28,5,7,5,10.6,5,6,5,10.2,0.1709,Rendah
Management,1,9147,1,120.0,111.3,0,0,1,1,0,20,5,8,5,10.2,5,7,5,11.2,0.1674,Rendah
Agronomy,44,9003,1,140.0,140.0,0,0,1,0,0,24,6,10,6,11.428571428571429,6,12,5,13.0,0.1653,Rendah
Advertising and Marketing Management,1,9670,1,126.0,125.7,0,0,1,0,0,20,6,9,6,13.571428571428571,6,10,5,13.6,0.1651,Rendah
Journalism and Communication,1,9773,1,137.0,139.8,1,0,1,0,0,18,6,10,6,12.571428571428571,6,11,6,12.571428571428571,0.1647,Rendah
Communication Design,1,9070,1,140.0,125.0,1,0,1,1,0,19,6,7,6,12.666666666666666,6,8,6,12.142857142857142,0.1573,Rendah
Nursing,17,9500,1,132.0,130.8,1,0,1,0,0,18,8,8,7,13.68142857142857,8,8,7,13.68142857142857,0.1553,Rendah
Advertising and Marketing Management,17,9670,1,141.0,128.8,1,0,1,0,0,19,6,6,6,14.833333333333334,6,8,6,13.285714285714286,0.1541,Rendah
Nursing,1,9500,1,136.0,131.1,1,0,1,0,0,19,7,9,6,13.411428571428573,8,12,7,13.294444444444444,0.1537,Rendah
Veterinary Nursing,1,9085,1,132.0,124.3,0,0,1,0,0,20,6,10,6,13.428571428571429,6,11,5,12.666666666666666,0.1534,Rendah
Journalism and Communication,1,9773,1,145.0,131.0,1,0,1,0,1,18,6,6,6,12.166666666666666,6,10,5,11.2,0.1521,Rendah
Management,1,9147,1,151.0,138.4,0,0,1,0,0,18,5,6,4,11.25,5,8,5,11.0,0.1482,Rendah
Oral Hygiene,18,9556,1,127.0,121.8,1,0,1,0,0,20,7,14,7,11.4375,8,9,8,11.425,0.1481,Rendah
Oral Hygiene,39,9556,1,130.0,110.0,0,0,1,1,1,24,7,13,6,10.857142857142858,7,7,7,11.857142857142858,0.1478,Rendah
Nursing,17,9500,1,137.0,131.1,1,0,1,0,0,18,7,9,7,12.385714285714286,8,9,7,12.728571428571428,0.1461,Rendah
Oral Hygiene,17,9556,1,133.0,119.0,0,0,1,0,0,19,7,10,6,11.15,7,7,7,12.814285714285717,0.1459,Rendah
Equinculture,1,9130,1,133.1,138.0,1,0,1,0,0,20,6,11,6,13.333333333333334,6,10,6,13.0,0.1456,Rendah
Informatics Engineering,44,9119,1,180.0,180.0,0,0,1,1,1,20,7,12,6,14.142857142857142,6,10,6,14.125,0.1456,Rendah
Advertising and Marketing Management,17,9670,1,115.0,109.1,1,0,1,0,1,19,6,7,6,13.285714285714286,6,9,5,14.6,0.1443,Rendah
Nursing,1,9500,1,130.0,125.1,1,0,1,0,1,18,7,9,6,12.816666666666668,8,11,6,12.875,0.1441,Rendah
Nursing,1,9500,1,113.0,106.7,1,0,1,0,1,20,7,10,5,12.62,7,8,6,12.5,0.1425,Rendah
Social Service,17,9238,1,128.0,118.6,1,0,1,0,1,21,6,8,5,13.2,6,7,5,11.8,0.1425,Rendah
Tourism,17,9254,1,122.0,118.2,0,0,1,0,1,20,6,10,4,11.25,6,6,6,10.5,0.1408,Rendah
Nursing,1,9500,1,106.0,106.4,1,0,1,0,1,19,7,9,5,13.34,7,9,6,12.385714285714286,0.14,Rendah
Tourism,1,9254,1,115.0,113.6,0,0,1,1,0,23,6,10,6,13.0,6,9,6,12.0,0.1367,Rendah
Tourism,1,9254,1,122.0,114.3,1,0,1,0,1,20,6,8,5,12.8,6,9,5,12.8,0.1361,Rendah
Veterinary Nursing,1,9085,1,135.0,136.8,1,0,1,0,0,18,5,11,5,14.0,5,7,5,11.6,0.1361,Rendah
Social Service (evening),39,8014,0,133.1,119.0,0,0,1,0,1,48,6,7,6,10.666666666666666,6,9,5,11.8,0.1355,Rendah
Social Service,1,9238,1,138.0,135.9,1,0,1,0,0,19,6,11,5,11.6,6,11,6,11.666666666666666,0.1313,Rendah
Equinculture,43,9130,1,100.0,100.0,0,0,1,0,0,19,5,10,5,14.857142857142858,5,7,5,15.142857142857142,0.1309,Rendah
Nursing,1,9500,1,113.0,107.8,1,0,1,0,1,20,7,10,5,14.46,7,8,6,13.55,0.1282,Rendah
Nursing,1,9500,1,127.0,121.4,0,0,1,1,0,20,7,10,5,13.976666666666668,8,9,8,13.22222222222222,0.1274,Rendah
Communication Design,43,9070,1,150.0,140.8,0,0,1,0,0,19,6,6,5,12.4,6,8,6,12.75,0.1261,Rendah
Nursing,39,9500,1,130.0,120.0,1,0,1,0,1,25,8,11,7,13.29,8,11,7,13.29,0.1256,Rendah
Communication Design,17,9070,1,136.0,130.8,0,0,1,0,0,20,6,6,6,12.5,6,8,6,11.5,0.1218,Rendah
Communication Design,1,9070,1,129.0,132.9,1,0,1,1,1,20,6,9,6,11.375,6,6,5,13.8,0.1211,Rendah
Nursing,39,9500,1,133.1,121.7,0,0,1,0,1,27,7,8,6,12.6,7,9,6,11.685714285714283,0.12,Rendah
Management,1,9147,1,129.0,117.8,0,0,1,0,1,19,5,6,4,11.0,5,9,4,13.857142857142858,0.1181,Rendah
Journalism and Communication,1,9773,1,127.0,121.1,1,0,1,0,0,18,6,6,6,13.166666666666666,6,6,6,12.5,0.1167,Rendah
Communication Design,1,9070,1,123.0,121.3,1,0,1,0,0,20,6,6,6,11.166666666666666,6,9,6,11.5,0.1164,Rendah
Agronomy,44,9003,1,140.0,140.0,0,0,1,1,1,20,6,11,5,13.833333333333334,6,13,6,12.3,0.1152,Rendah
Journalism and Communication,17,9773,1,135.0,135.0,0,0,1,0,0,18,6,6,6,13.5,6,6,6,13.333333333333334,0.1145,Rendah
Nursing,1,9500,1,125.0,119.4,1,0,1,0,0,19,7,10,6,12.471428571428572,7,8,7,11.4625,0.1141,Rendah
Oral Hygiene,39,9556,1,130.0,145.0,0,0,1,0,0,25,7,10,6,12.125,8,9,8,13.3125,0.1134,Rendah
Communication Design,17,9070,1,123.0,113.9,0,0,1,0,0,18,6,8,6,12.5,6,6,6,12.333333333333334,0.1117,Rendah
Oral Hygiene,39,9556,1,133.1,152.8,1,0,1,0,0,28,7,9,7,12.428571428571429,8,8,8,12.3,0.1117,Rendah
Nursing,39,9500,1,110.0,126.0,1,0,1,1,0,27,7,7,7,14.085714285714284,7,7,7,14.085714285714284,0.1107,Rendah
Nursing,1,9500,1,131.0,122.0,1,0,1,0,0,20,8,8,7,14.014285714285714,8,8,7,14.014285714285714,0.1102,Rendah
Tourism,1,9254,1,129.0,122.0,1,0,1,0,1,18,6,9,6,10.833333333333334,6,8,5,11.0,0.1098,Rendah
Management (evening),1,9991,0,140.0,139.0,0,0,1,0,1,38,5,8,5,11.0,5,7,5,11.4,0.1095,Rendah
Social Service (evening),1,8014,0,123.0,127.6,1,0,1,1,0,26,6,6,6,11.833333333333334,6,6,6,11.666666666666666,0.1085,Rendah
Advertising and Marketing Management,1,9670,1,122.0,126.6,1,0,1,0,0,18,6,8,6,14.625,6,9,6,14.142857142857142,0.1047,Rendah
Nursing,1,9500,1,131.0,126.1,1,0,1,0,0,18,7,8,7,12.59125,8,11,7,12.820000000000002,0.1046,Rendah
Nursing,43,9500,1,130.0,100.0,0,0,1,0,0,20,7,11,6,11.616666666666667,7,7,7,13.0,0.1043,Rendah
Communication Design,1,9070,1,124.0,126.8,0,0,1,0,1,18,6,8,6,12.0,6,12,5,11.142857142857142,0.1023,Rendah
Advertising and Marketing Management,1,9670,1,143.0,131.8,1,0,1,0,1,18,6,8,6,13.571428571428571,6,6,5,12.8,0.1008,Rendah
Nursing,43,9500,1,121.0,115.4,1,0,1,0,1,24,8,8,7,11.971428571428572,8,8,7,11.971428571428572,0.1002,Rendah
Communication Design,17,9070,1,116.0,110.8,0,0,1,0,0,18,6,6,6,11.833333333333334,6,6,6,12.5,0.1002,Rendah
Management (evening),44,9991,0,150.0,150.0,0,0,1,0,0,31,6,8,6,12.0,7,8,7,13.428571428571429,0.0977,Rendah
Management,1,9147,1,128.0,122.1,0,0,1,0,1,18,5,11,4,11.571428571428571,5,9,5,12.0,0.0971,Rendah
Oral Hygiene,43,9556,1,149.0,140.2,1,0,1,0,0,20,7,9,7,12.333333333333334,8,8,8,12.625,0.0969,Rendah
Social Service (evening),43,8014,0,120.0,118.3,0,0,1,0,0,20,6,6,6,12.166666666666666,6,7,5,14.0,0.0963,Rendah
Advertising and Marketing Management,1,9670,1,130.0,124.1,1,0,1,0,0,18,6,6,6,14.166666666666666,6,7,6,13.428571428571429,0.0961,Rendah
Social Service,1,9238,1,108.0,105.9,0,0,1,0,1,20,6,11,5,10.6,6,9,5,11.166666666666666,0.096,Rendah
Veterinary Nursing,1,9085,1,135.0,134.3,1,0,1,0,0,19,5,7,5,14.2,5,7,5,13.8,0.0948,Rendah
Nursing,7,9500,1,120.0,120.0,1,0,1,0,0,45,11,11,11,12.7,10,12,10,12.96818181818182,0.0941,Rendah
Management,51,9147,1,160.0,118.0,0,0,1,0,0,53,15,15,15,11.8,13,13,12,11.666666666666666,0.0935,Rendah
Equinculture,17,9130,1,138.0,126.3,1,0,1,0,1,18,6,7,6,12.833333333333334,6,8,6,13.0,0.0916,Rendah
Social Service (evening),1,8014,0,121.0,114.4,1,0,1,0,0,45,12,14,12,14.0,7,12,7,13.857142857142858,0.0885,Rendah
Social Service,17,9238,1,131.0,120.2,1,0,1,0,1,19,6,9,5,11.333333333333334,6,6,6,10.833333333333334,0.0862,Rendah
Nursing,1,9500,1,117.0,112.1,0,0,1,0,1,20,7,9,5,13.188,8,9,7,12.892857142857142,0.0835,Rendah
Journalism and Communication,1,9773,1,143.0,144.8,0,0,1,0,0,19,6,6,6,12.166666666666666,6,6,6,12.5,0.0834,Rendah
Advertising and Marketing Management,1,9670,1,122.0,116.1,0,0,1,1,1,19,6,10,6,13.125,6,9,6,12.714285714285714,0.0823,Rendah
Communication Design,1,9070,1,129.0,136.4,1,0,1,0,0,18,6,6,6,12.333333333333334,6,6,6,12.833333333333334,0.0804,Rendah
Nursing,43,9500,1,170.0,100.0,0,0,1,0,0,20,7,8,6,13.25,8,8,8,13.75,0.0802,Rendah
Social Service,1,9238,1,132.0,129.9,1,0,1,0,0,20,6,7,5,13.2,6,6,6,12.666666666666666,0.0802,Rendah
Communication Design,1,9070,1,110.0,107.6,1,0,1,1,1,22,6,6,6,11.666666666666666,6,6,6,12.166666666666666,0.0783,Rendah
Nursing,1,9500,1,141.0,124.3,0,0,1,0,0,19,8,8,7,14.514285714285714,8,8,7,14.514285714285714,0.0779,Rendah
Journalism and Communication,1,9773,1,130.0,137.4,0,0,1,0,0,19,6,6,6,15.0,6,7,6,14.0,0.0752,Rendah
Nursing,1,9500,1,128.0,120.5,1,0,1,0,1,19,7,10,5,13.04,7,7,7,12.5,0.0742,Rendah
Social Service,39,9238,1,133.1,130.0,0,0,1,0,0,31,6,6,6,13.166666666666666,6,8,6,13.0,0.0719,Rendah
Social Service (evening),43,8014,0,130.0,100.0,0,0,1,1,0,54,13,14,13,13.307692307692308,11,12,11,12.818181818181818,0.0718,Rendah
Nursing,1,9500,1,122.0,119.6,1,0,1,0,0,21,7,8,6,13.25,8,8,8,13.8375,0.0689,Rendah
Nursing,1,9500,1,137.0,125.3,0,0,1,1,0,19,7,7,7,12.2,7,7,7,12.2,0.0681,Rendah
Nursing,1,9500,1,126.0,120.2,0,0,1,0,1,19,7,9,5,14.06,7,9,7,11.242857142857142,0.0659,Rendah
Nursing,1,9500,1,135.0,124.0,1,0,1,0,1,19,8,8,7,12.771428571428572,8,8,7,12.771428571428572,0.0655,Rendah
Tourism,1,9254,1,128.0,120.0,1,0,1,0,1,20,6,6,6,14.5,6,7,5,15.0,0.0635,Rendah
Nursing,1,9500,1,131.0,118.0,1,0,1,0,1,18,8,8,7,13.242857142857144,8,8,7,13.242857142857144,0.0623,Rendah
Nursing,1,9500,1,145.0,132.3,1,0,1,0,1,19,8,8,7,14.06,8,8,7,14.06,0.0566,Rendah
Management (evening),44,9991,0,140.0,140.0,0,0,1,0,1,26,6,7,6,12.666666666666666,6,7,6,13.166666666666666,0.0551,Rendah
Communication Design,17,9070,1,145.0,153.1,1,0,1,0,1,20,6,6,6,12.5,6,6,6,14.333333333333334,0.0548,Rendah
Animation and Multimedia Design,1,171,1,133.1,128.2,1,0,1,1,1,19,12,12,12,13.333333333333334,11,15,10,12.818181818181818,0.0508,Rendah
Nursing,1,9500,1,126.0,121.3,1,0,1,0,1,18,7,9,6,13.533333333333331,7,7,7,12.228571428571428,0.0496,Rendah
Animation and Multimedia Design,15,171,1,130.0,130.0,0,0,1,1,0,21,12,12,12,15.083333333333334,11,15,11,13.083333333333334,0.0451,Rendah
Nursing,1,9500,1,143.0,133.8,1,0,1,0,0,18,8,8,8,14.26875,8,8,8,14.26875,0.0396,Rendah
Communication Design,1,9070,1,125.0,118.0,0,0,1,0,1,18,6,6,6,14.333333333333334,6,7,6,14.0,0.031,Rendah
Nursing,1,9500,1,143.0,142.3,0,0,1,0,1,18,7,7,7,13.79714285714286,8,8,8,13.775,0.0155,Rendah
